"draw","n","observed","counterfactual","att","reduction_pct","negative_counterfactual_cells"
163,4963,126199,142449.056050654,-3.27424059050048,11.4076263480998,409
164,5067,130475,149532.120745268,-3.76102639535592,12.7444997437926,413
165,5104,128450,150059.939897446,-4.2339223937003,14.4008720196842,479
166,5012,112407,132582.689510744,-4.02547675792968,15.2174387057585,398
167,4959,126941,171183.433754748,-8.92164423366575,25.8450439883884,465
168,5046,126951,163965.199824229,-7.33535470159107,22.5744242460644,390
169,5088,131410,152264.782692718,-4.09881735312846,13.6963927731104,326
170,5088,146886,97911.9078113698,9.62541120059557,-50.0185251041991,696
171,4951,139039,148749.131716964,-1.96124655967758,6.52785774604716,343
172,5023,131911,137797.768078419,-1.1719625877801,4.27203441718254,358
173,5012,144215,166996.27209446,-4.54534558947725,13.6417848187497,390
174,5032,131850,168252.389937959,-7.2341792404528,21.6355856528288,347
175,5091,120452,147519.221839499,-5.31668077774488,18.3482677728251,354
176,5107,122051,147229.140944195,-4.9301235449765,17.1013297929507,321
177,4900,115576,141803.554967349,-5.35256223823441,18.4956963690986,454
178,4936,110362,138580.512332607,-5.71687851146819,20.3625400553288,457
179,5041,122747,163794.931915967,-8.14281529775181,25.0605628854414,498
180,5072,136642,170582.725132191,-6.69178334625215,19.8969298361771,481
181,5078,140462,179108.483332763,-7.61057174729488,21.5771372821926,364
182,5004,145532,179415.202094711,-6.77122344019002,18.8853573716816,425
183,4977,127081,94007.4138546247,6.64528554257089,-35.1818912884053,257
184,5042,131407,157562.932266408,-5.18761052487267,16.6003081373121,423
185,5172,134135,154405.9717432,-3.91936808646563,13.1283599425247,361
186,5036,125402,162203.157529908,-7.30761666598649,22.6883114301412,439
187,4978,132688,151271.952078697,-3.73321656864149,12.2851274299873,380
188,5081,121747,151632.918681629,-5.88189700484733,19.7093869467607,374
189,5123,120074,150426.242246234,-5.92470080933716,20.1774915021479,397
190,5121,134744,167411.810449529,-6.37918579369839,19.5134443393275,430
191,5010,113145,140813.704772496,-5.52269556337255,19.649156179222,570
192,4936,136005,74553.557569506,12.4496439283821,-82.4259021753631,620
193,5058,137671,173451.736047084,-7.07408779104076,20.6286410632243,481
194,5089,109625,91967.525201567,3.46973369982963,-19.1996846275169,342
195,5072,130987,168434.028183587,-7.38308915291534,22.2324601432502,451
196,5098,130929,163787.337058171,-6.44533877170874,20.0615857418215,516
197,5010,125584,123099.551883641,0.495897827616487,-2.01824302228736,339
198,5006,133722,156053.048963117,-4.46085676450604,14.3099087851819,367
199,4912,135571,160175.042119734,-5.00896622958755,15.3607214920175,349
200,4912,122678,115938.056074663,1.37213842128205,-5.81340083966647,598
201,5034,126438,149233.040392334,-4.52821620825079,15.2747945980369,439
202,5080,118081,158131.255944611,-7.88390865051401,25.3272230751393,382
203,5041,124800,144540.017819639,-3.91589323936492,13.6571297813667,598
204,5031,139689,155152.556117672,-3.07365456522991,9.9666782840134,341
205,5013,128978,152444.807031132,-4.68119031141674,15.3936414681149,406
206,5172,130183,175073.724151999,-8.6795677014692,25.6410402928452,466
207,5035,124982,151325.373035402,-5.23205025529342,17.4084309240324,372
208,5104,145749,110469.504788443,6.91212680477206,-31.9359585064849,657
209,5070,128060,142740.213501039,-2.89550562150675,10.2845674256557,373
210,5140,116945,144624.076552261,-5.38503434868888,19.1386366724761,270
211,5039,143940,150338.060180743,-1.26970831132032,4.25578205083334,391
212,5062,124298,173563.003057896,-9.73231984549504,28.3845071760267,434
213,4993,137814,178512.914783905,-8.15119462926189,22.7988629467912,404
214,5038,126567,157824.550795719,-6.20435704559727,19.8052525023039,450
215,5097,127142,168013.770304964,-8.01878954384232,24.326440761836,483
216,5098,155552,189121.87508696,-6.5849107663711,17.7503924765573,473
217,5143,106545,140665.793042494,-6.63441435786391,24.2566385931414,388
218,5142,121397,155357.263004008,-6.60448522053833,21.8594627295487,376
219,5072,113839,148946.491932473,-6.92182411917848,23.5705396461366,460
220,4941,125416,148255.435469169,-4.6224317889434,15.4054624688071,457
221,5041,120846,156927.646516128,-7.15763668242977,22.9925365715722,375
222,4992,134083,169416.546865345,-7.07803422783355,20.856018800471,368
223,4976,135598,157126.819033385,-4.32653115622696,13.7015559570458,339
224,4996,124543,153600.262285546,-5.8161053413823,18.9174561639276,437
225,4966,134730,170949.834005598,-7.29356302972172,21.1874051918716,443
226,5033,130024,148288.957916732,-3.62903991987532,12.3171395721782,465
227,4980,110159,140835.415959903,-6.15992288351474,21.7817483981708,444
228,5196,130982,165861.363361572,-6.71273351839345,21.0292274551828,459
229,4919,113498,141315.929558686,-5.65520015423575,19.6849213287971,427
230,5057,149644,188503.194828471,-7.68423864513964,20.6146080780388,362
231,5074,134033,171382.295299593,-7.3609174811969,21.7929718086123,412
232,5034,132510,76696.9923615146,11.0872085098302,-72.7707905095005,170
233,4963,135022,152780.470145265,-3.57817250559447,11.6235210746376,319
234,5048,138217,104003.605203713,6.77761386614242,-32.8963546304695,666
235,5010,153497,152959.421571123,0.107301083608112,-0.351451661724985,840
236,5070,143397,167411.532800212,-4.73659424067293,14.3446107914624,431
237,5041,102489,127408.430620218,-4.94335064872409,19.5586983521511,471
238,5033,94774,127222.726510736,-6.44719382291599,25.5054481229011,467
